# corpus_sha256=228df2a717671aeb9d2ff573002bd28d6b3f973f4bc7153554e3a81663d67610
surah,n_verses,n_words,n_letters,p_max,H_EL_raw,H_EL_mm,C_Omega,F75,D_max,VL_CV_letters,VL_CV_words,d_info,HFD,Delta_alpha
1,7,29,143,0.57142857,0.98522814,1.08827778,0.79505817,4.98522814,3.82212679,0.53238787,0.54739682,1.53937743,nan,nan
2,286,6145,26143,0.67482517,1.45872585,1.47385902,0.69656373,5.69866647,3.34862907,0.64761424,0.66018188,1.62804828,0.98084932,1.11021338
3,200,3505,14936,0.60000000,1.88718671,1.91604061,0.60743762,5.95757604,2.92016821,0.50812671,0.53396493,1.61850839,0.99528425,0.43786259
4,176,3767,16280,0.96022727,0.28694148,0.29923717,0.94031198,5.03574422,4.52041345,0.57928540,0.59776809,1.61982698,0.99652272,0.61633066
5,120,2841,12163,0.66666667,1.48855960,1.51861575,0.69035787,5.71095202,3.31879532,0.54538881,0.54247303,1.61845415,1.00395198,0.59670919
6,165,3060,12665,0.87272727,0.74008098,0.75756819,0.84605235,5.35103869,4.06727394,0.47571817,0.49721983,1.64664994,0.98360591,0.26378112
7,206,3345,14378,0.93689320,0.40221174,0.41271681,0.91633409,5.11552318,4.40514318,0.55840683,0.57142398,1.63872494,0.96150174,0.82875238
8,75,1247,5384,0.52000000,1.85467749,1.91238529,0.61420001,5.71861594,2.95267743,0.44416990,0.44765853,1.62187977,0.99469772,0.82581347
9,129,2505,11089,0.66666667,1.17085095,1.19321831,0.75644591,5.39324337,3.63650397,0.39018609,0.38952312,1.62210234,0.96889621,0.72791086
10,109,1843,7568,0.89908257,0.51624996,0.52948570,0.89261247,5.17013040,4.29110496,0.45875916,0.47658872,1.62238645,0.99740483,0.17989571
11,123,1950,7787,0.45528455,2.50529668,2.56980743,0.47886172,6.17749202,2.30205824,0.40163697,0.42380156,1.63355856,0.99307047,0.61977743
12,111,1799,7295,0.83783784,0.76968498,0.78918086,0.83989429,5.32178285,4.03766994,0.45161978,0.47467218,1.63732406,0.98827996,0.54595249
13,43,858,3536,0.34883721,2.48162821,2.58228135,0.48378511,5.76960897,2.32572671,0.47883696,0.51863492,1.63383390,0.87627731,nan
14,52,834,3535,0.21153846,2.95469876,3.07954736,0.38537953,5.52104558,1.85265617,0.51998463,0.52948483,1.63933309,0.99590037,nan
15,99,661,2889,0.81818182,0.77553995,0.79011263,0.83867637,5.29338826,4.03181497,0.36622044,0.38324105,1.61942384,0.98069521,0.72008740
16,128,1848,7810,0.85937500,0.65664400,0.66791505,0.86340846,5.24535863,4.15071093,0.39117965,0.41099142,1.63367384,0.93429368,0.43638233
17,111,1562,6634,0.99099099,0.07414948,0.08064811,0.98457583,4.86844825,4.73320544,0.35103080,0.35163972,1.64766194,1.00898977,0.64313693
18,110,1587,6542,0.99090909,0.07470434,0.08126204,0.98446041,4.86888387,4.73265058,0.54099776,0.51386520,1.66940733,0.90732275,0.40039623
19,98,975,3949,0.91836735,0.51393006,0.53601212,0.89309505,5.19842823,4.29342487,0.40484077,0.41136580,1.64150665,0.96992223,0.54726593
20,135,1357,5405,0.79259259,0.82830893,0.84433887,0.82769965,5.30031524,3.97904599,0.58234323,0.57732016,1.65678405,0.95967117,1.35281508
21,112,1178,5093,0.94642857,0.30137864,0.30781925,0.93730884,5.02929910,4.50597628,0.34207319,0.36366330,1.62953166,0.94560400,1.23035413
22,78,1283,5316,0.32051282,2.69247095,2.78495140,0.43992674,5.85827985,2.11488397,0.58049397,0.59337791,1.63588056,1.02948767,1.51418249
23,118,1056,4486,0.96610169,0.21357982,0.21969293,0.95557228,4.97118170,4.59377511,0.52231294,0.54111935,1.64189074,0.96874486,0.91065131
24,64,1323,5739,0.48437500,1.63635164,1.68143586,0.65961497,5.39790287,3.17100328,0.68644995,0.70202791,1.63319236,0.95710255,1.49015997
25,77,900,3877,0.98701299,0.10000094,0.10936909,0.97919834,4.88849684,4.70735398,0.32586370,0.35635651,1.63161309,0.99961416,0.17538802
26,227,1324,5632,0.85022026,0.68755762,0.69391311,0.85697798,5.26082110,4.11979730,0.43008369,0.45841180,1.62154229,1.00452991,0.83057108
27,93,1163,4783,0.90322581,0.45868582,0.46644224,0.90458665,5.11919935,4.34866911,0.39822683,0.43105123,1.63662849,0.87160668,0.99991583
28,88,1442,5915,0.92045455,0.52440051,0.54899190,0.89091704,5.21217381,4.28295441,0.36831989,0.40895160,1.62531126,0.96038230,0.79311201
29,69,982,4313,0.85507246,0.72472284,0.74563146,0.84924707,5.30619635,4.08263209,0.38925770,0.41832882,1.60126889,1.01105793,0.18195159
30,60,821,3470,0.90000000,0.56082518,0.58487009,0.88334018,5.21617701,4.24652975,0.44421744,0.45579741,1.64943293,0.99403629,nan
31,34,554,2187,0.47058824,1.86241918,1.94728359,0.61258962,5.58231126,2.94493574,0.43328796,0.47165523,1.63615256,0.93134769,nan
32,30,376,1574,0.90000000,0.56082518,0.60891501,0.88334018,5.21617701,4.24652975,0.36054809,0.37054119,1.62282426,nan,nan
33,73,1307,5782,0.98630137,0.10441908,0.11430055,0.97827931,4.89187444,4.70293584,0.63410715,0.63819375,1.60384462,0.92496292,1.97310901
34,54,888,3597,0.40740741,2.24996137,2.33011110,0.53197519,5.76186041,2.55739355,0.44265576,0.44178907,1.63770664,0.96831769,nan
35,45,782,3236,0.64444444,1.71312624,1.80930591,0.64364473,5.88660907,3.09422868,0.47516873,0.49032739,1.64576873,0.82758524,nan
36,83,734,3077,0.84337349,0.68745677,0.70483863,0.85699896,5.24905527,4.11989816,0.36431255,0.39389345,1.62879718,0.93445516,1.09589816
37,182,869,3905,0.79670330,1.01514201,1.03495925,0.78883564,5.49461138,3.79221291,0.40570589,0.49074275,1.62576547,0.98682575,1.37718340
38,88,739,3075,0.39772727,2.47123444,2.54500861,0.48594716,5.94844076,2.33612049,0.56582980,0.59018607,1.65514642,0.87116247,0.42094095
39,75,1181,4861,0.70666667,1.57949603,1.63720383,0.67144177,5.88595272,3.22785889,0.49346940,0.50590408,1.64553570,0.96521579,0.41445441
40,85,1230,5103,0.37647059,2.41322580,2.47263089,0.49801381,5.81118979,2.39412912,0.43805654,0.47371533,1.63591371,1.00700233,0.71155852
41,54,798,3360,0.55555556,2.14640227,2.26662686,0.55351699,6.10576029,2.66095265,0.42591622,0.44005419,1.63275079,0.98871991,nan
42,53,864,3514,0.37735849,2.56543507,2.67431772,0.46635206,5.96679764,2.24191985,0.47050181,0.46757149,1.63365818,0.90559687,nan
43,89,840,3608,0.87640449,0.59392833,0.61013839,0.87645424,5.21095204,4.21342659,0.39585154,0.41620270,1.64108066,0.98609325,0.72456377
44,59,350,1485,0.74576271,0.81792525,0.83015148,0.82985961,5.20206874,3.98942967,0.34266282,0.35809292,1.60913550,0.91446991,nan
45,37,492,2094,0.81081081,0.69977222,0.71926810,0.85443716,5.20456437,4.10758270,0.35369628,0.38052848,1.61485480,1.01332661,nan
46,35,649,2679,0.74285714,0.95181351,0.99303337,0.80200890,5.33032514,3.85554141,0.43063403,0.43877444,1.63030298,0.98382520,nan
