source,family,T,EL,L
ctrl,poetry_jahili,-2.170311,0.035714,-2.529347
ctrl,poetry_jahili,-2.787992,0.102564,-2.579132
ctrl,poetry_jahili,-2.717616,0.125000,-2.447871
ctrl,poetry_jahili,-3.218186,0.100000,-2.819088
ctrl,poetry_jahili,-2.449168,0.088235,-2.458460
ctrl,poetry_jahili,-1.979259,0.290323,-1.363542
ctrl,poetry_jahili,-2.506259,0.120690,-2.353257
ctrl,poetry_jahili,-2.556382,0.050000,-2.675375
ctrl,poetry_jahili,-3.275289,0.062500,-3.006227
ctrl,poetry_jahili,-2.583106,0.142857,-2.301570
ctrl,poetry_jahili,-3.053914,0.173913,-2.422671
ctrl,poetry_jahili,-2.343379,0.000000,-2.770819
ctrl,poetry_jahili,-2.463458,0.142857,-2.237813
ctrl,poetry_jahili,-2.320846,0.055556,-2.526647
ctrl,poetry_jahili,-2.036103,0.086957,-2.243691
ctrl,poetry_jahili,-3.034621,0.047619,-2.940168
ctrl,poetry_jahili,-2.915599,0.000000,-3.075741
ctrl,poetry_jahili,-1.708294,0.214286,-1.536906
ctrl,poetry_jahili,-2.612306,0.230769,-1.949749
ctrl,poetry_jahili,-3.066745,0.060606,-2.903014
ctrl,poetry_jahili,-2.533133,0.066667,-2.593337
ctrl,poetry_jahili,-3.319734,0.076923,-2.969638
ctrl,poetry_jahili,-1.885653,0.166667,-1.830415
ctrl,poetry_jahili,-1.964842,0.125000,-2.046736
ctrl,poetry_jahili,-2.263127,0.222222,-1.799398
ctrl,poetry_jahili,-2.680583,0.090909,-2.570602
ctrl,poetry_jahili,-2.445053,0.166667,-2.128506
ctrl,poetry_jahili,-2.591667,0.066667,-2.624528
ctrl,poetry_jahili,-2.678835,0.000000,-2.949575
ctrl,poetry_jahili,-2.354917,0.210526,-1.897187
ctrl,poetry_jahili,-2.196715,0.142857,-2.095671
ctrl,poetry_jahili,-2.643793,0.096774,-2.526488
ctrl,poetry_jahili,-2.722816,0.055556,-2.740848
ctrl,poetry_jahili,-2.468730,0.111111,-2.373287
ctrl,poetry_jahili,-3.156834,0.000000,-3.204290
ctrl,poetry_jahili,-1.636248,0.133333,-1.836811
ctrl,poetry_jahili,-2.800875,0.000000,-3.014608
ctrl,poetry_jahili,-2.732259,0.068966,-2.689840
ctrl,poetry_jahili,-2.686813,0.240000,-1.950877
ctrl,poetry_jahili,-2.722965,0.066667,-2.694495
ctrl,poetry_jahili,-2.562102,0.043478,-2.705678
ctrl,poetry_jahili,-2.155670,0.222222,-1.742136
ctrl,poetry_jahili,-2.899419,0.131579,-2.517257
ctrl,poetry_jahili,-2.610897,0.060606,-2.660103
ctrl,poetry_jahili,-3.050724,0.044444,-2.962015
ctrl,poetry_jahili,-2.710733,0.081967,-2.624036
ctrl,poetry_jahili,-2.208010,0.100000,-2.280788
ctrl,poetry_jahili,-2.318276,0.185185,-1.983561
ctrl,poetry_jahili,-2.845733,0.103896,-2.604334
ctrl,poetry_jahili,-2.666604,0.214286,-2.047568
ctrl,poetry_jahili,-2.841792,0.200000,-2.200620
ctrl,poetry_jahili,-2.032957,0.138889,-2.024992
ctrl,poetry_jahili,-2.129682,0.052632,-2.437000
ctrl,poetry_jahili,-2.113775,0.136364,-2.078611
ctrl,poetry_jahili,-2.816862,0.051282,-2.808822
ctrl,poetry_jahili,-2.839060,0.019608,-2.953015
ctrl,poetry_jahili,-3.093151,0.043478,-2.988661
ctrl,poetry_jahili,-2.615676,0.016393,-2.847412
ctrl,poetry_jahili,-2.591540,0.000000,-2.903058
ctrl,poetry_jahili,-3.007207,0.037037,-2.969781
ctrl,poetry_jahili,-3.208355,0.087719,-2.865169
ctrl,poetry_jahili,-2.377490,0.137931,-2.212588
ctrl,poetry_jahili,-2.268167,0.111111,-2.266412
ctrl,poetry_jahili,-3.472804,0.037037,-3.217887
ctrl,poetry_jahili,-2.377699,0.000000,-2.789107
ctrl,poetry_islami,-1.906741,0.111111,-2.073816
ctrl,poetry_islami,-2.636774,0.125000,-2.404793
ctrl,poetry_islami,-1.907455,0.294118,-1.309421
ctrl,poetry_islami,-2.435176,0.058824,-2.573915
ctrl,poetry_islami,-2.340890,0.062500,-2.508308
ctrl,poetry_islami,-2.482226,0.039216,-2.680927
ctrl,poetry_islami,-2.674443,0.098039,-2.537534
ctrl,poetry_islami,-1.631618,0.160000,-1.722905
ctrl,poetry_islami,-2.053843,0.133333,-2.059338
ctrl,poetry_islami,-3.039837,0.095238,-2.743949
ctrl,poetry_islami,-2.930650,0.105263,-2.643872
ctrl,poetry_islami,-2.545582,0.025641,-2.771416
ctrl,poetry_islami,-2.615189,0.057971,-2.673402
ctrl,poetry_islami,-2.086156,0.142857,-2.036757
ctrl,poetry_islami,-2.169249,0.125000,-2.155659
ctrl,poetry_islami,-2.826058,0.119048,-2.530533
ctrl,poetry_islami,-2.892108,0.150000,-2.436380
ctrl,poetry_islami,-2.588647,0.066667,-2.622919
ctrl,poetry_islami,-3.220978,0.000000,-3.238471
ctrl,poetry_islami,-2.956230,0.000000,-3.097393
ctrl,poetry_islami,-3.216665,0.052632,-3.016227
ctrl,poetry_islami,-1.463677,0.222222,-1.373390
ctrl,poetry_islami,-3.193147,0.038462,-3.062912
ctrl,poetry_islami,-1.669869,0.240000,-1.408972
ctrl,poetry_islami,-2.042561,0.176471,-1.873057
ctrl,poetry_islami,-3.003804,0.117647,-2.631102
ctrl,poetry_islami,-2.627465,0.053333,-2.699324
ctrl,poetry_islami,-2.185527,0.120000,-2.185228
ctrl,poetry_islami,-2.438509,0.148148,-2.202407
ctrl,poetry_islami,-2.451405,0.075000,-2.514962
ctrl,poetry_islami,-2.398560,0.123288,-2.285010
ctrl,poetry_islami,-2.397065,0.078947,-2.469509
ctrl,poetry_islami,-2.349941,0.157895,-2.114481
ctrl,poetry_islami,-2.377821,0.090909,-2.409267
ctrl,poetry_islami,-3.283570,0.057143,-3.033027
ctrl,poetry_islami,-2.551602,0.062500,-2.620591
ctrl,poetry_islami,-2.632731,0.200000,-2.089217
ctrl,poetry_islami,-2.456724,0.071429,-2.532721
ctrl,poetry_islami,-1.660501,0.000000,-2.406929
ctrl,poetry_islami,-2.647217,0.043478,-2.751033
ctrl,poetry_islami,-2.401891,0.066667,-2.523402
ctrl,poetry_islami,-2.186691,0.121212,-2.180783
ctrl,poetry_islami,-3.346200,0.047619,-3.106201
ctrl,poetry_islami,-3.128034,0.058824,-2.943122
ctrl,poetry_islami,-2.437145,0.000000,-2.820784
ctrl,poetry_islami,-1.297185,0.428571,-0.422346
ctrl,poetry_islami,-2.741626,0.100000,-2.565140
ctrl,poetry_islami,-1.662302,0.066667,-2.129292
ctrl,poetry_islami,-3.517702,0.033333,-3.257290
ctrl,poetry_islami,-2.543630,0.045455,-2.687575
