surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
46,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-6.610641956329346,2.12,7.34,46,5,14,0,1,0,14,3,1,5.22,180.3724536024862,28.66785458270162,145.37991769438761,425.0,519.0,71.67553423342518,13.931552655826884,0.13499876856803894,1547.7976430677506,3032.5362042682927,0.0
46,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ حمٓ,42,-10.671300888061523,10.2476875,13.6215,43,5,12,2,0,0,12,3,0,3.3738125,180.17434757060894,17.22610729399294,72.70791579169406,333.0,334.0,74.73209241454589,16.953947283672203,0.12870149314403534,1223.8913478131817,2515.7724056603774,2.9076874999999998
46,2,تَنزِيلُ ٱلْكِتَـٰبِ مِنَ ٱللَّهِ ٱلْعَزِيزِ ٱلْحَكِيمِ,54,-8.061314582824707,13.4215,20.529,55,6,17,1,0,0,17,4,0,7.1075,187.13899413058866,22.24655671413283,141.93237789649743,588.0,707.0,71.80386014624399,12.843879114150951,0.13714677095413208,1511.6627428432257,3033.8775224215246,0.0
46,3,مَا خَلَقْنَا ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ وَمَا بَيْنَهُمَآ إِلَّا بِٱلْحَقِّ وَأَجَلٍۢ مُّسَمًّۭى ۚ وَٱلَّذِينَ كَفَرُوا۟ عَمَّآ أُنذِرُوا۟ مُعْرِضُونَ,146,-6.648678302764893,20.3289375,39.147937500000005,153,15,47,4,4,5,49,14,5,18.819,176.31637735960064,21.798903214415247,315.936570308712,1623.0,1878.0,71.39626244829567,15.567067089519508,0.11623165011405945,1320.6707246565281,2581.613433786078,0.0
46,4,قُلْ أَرَءَيْتُم مَّا تَدْعُونَ مِن دُونِ ٱللَّهِ أَرُونِى مَاذَا خَلَقُوا۟ مِنَ ٱلْأَرْضِ أَمْ لَهُمْ شِرْكٌۭ فِى ٱلسَّمَـٰوَٰتِ ۖ ٱئْتُونِى بِكِتَـٰبٍۢ مِّن قَبْلِ هَـٰذَآ أَوْ أَثَـٰرَةٍۢ مِّنْ عِلْمٍ إِن كُنتُمْ صَـٰدِقِينَ,217,-3.3387434482574463,38.967937500000005,65.9479375,228,29,65,7,6,7,69,17,7,26.98,183.24094644637265,25.330543101491056,263.99343275548955,2278.0,2695.0,70.54685127019073,16.20579157546174,0.11414657533168793,1368.983402868256,2719.777473341232,0.0
46,5,وَمَنْ أَضَلُّ مِمَّن يَدْعُوا۟ مِن دُونِ ٱللَّهِ مَن لَّا يَسْتَجِيبُ لَهُۥٓ إِلَىٰ يَوْمِ ٱلْقِيَـٰمَةِ وَهُمْ عَن دُعَآئِهِمْ غَـٰفِلُونَ,137,-5.177670001983643,66.77737499999999,83.9610625,141,18,46,5,2,1,46,12,3,17.18375,176.88406717380718,19.611765795151204,141.58342849355472,1551.0,1715.0,71.93635514667966,16.453441860635323,0.12123332172632217,1291.4658474186708,2523.859404096834,0.8294374999999974
46,6,وَإِذَا حُشِرَ ٱلنَّاسُ كَانُوا۟ لَهُمْ أَعْدَآءًۭ وَكَانُوا۟ بِعِبَادَتِهِمْ كَـٰفِرِينَ,86,-8.287065505981445,83.7610625,94.8516875,90,9,29,2,0,2,30,11,0,11.090625,175.35963136601458,22.833014265352233,216.8259925826279,964.0,1106.0,71.32605364635053,14.944436371773614,0.12372695654630661,1399.1646377644297,2734.8703170028816,0.0
46,7,وَإِذَا تُتْلَىٰ عَلَيْهِمْ ءَايَـٰتُنَا بَيِّنَـٰتٍۢ قَالَ ٱلَّذِينَ كَفَرُوا۟ لِلْحَقِّ لَمَّا جَآءَهُمْ هَـٰذَا سِحْرٌۭ مُّبِينٌ,126,-5.674520015716553,94.6516875,111.3,132,14,41,5,2,5,44,15,2,16.6483125,176.56381962625903,23.607284357284758,241.54629160360207,1397.0,1661.0,69.21225321724775,16.064844148395466,0.10437265038490295,1207.1794790352267,2287.4580134357007,0.0
46,8,أَمْ يَقُولُونَ ٱفْتَرَىٰهُ ۖ قُلْ إِنِ ٱفْتَرَيْتُهُۥ فَلَا تَمْلِكُونَ لِى مِنَ ٱللَّهِ شَيْـًٔا ۖ هُوَ أَعْلَمُ بِمَا تُفِيضُونَ فِيهِ ۖ كَفَىٰ بِهِۦ شَهِيدًۢا بَيْنِى وَبَيْنَكُمْ ۖ وَهُوَ ٱلْغَفُورُ ٱلرَّحِيمُ,201,-4.353326797485352,111.1,137.4750625,214,25,63,2,3,2,65,15,4,26.3750625,188.33782156346072,24.496645145916727,237.28327098242082,2226.0,2634.0,72.67096015841547,14.957341573391597,0.15237626433372498,1419.8078553956607,2748.787878787879,0.0
46,9,قُلْ مَا كُنتُ بِدْعًۭا مِّنَ ٱلرُّسُلِ وَمَآ أَدْرِى مَا يُفْعَلُ بِى وَلَا بِكُمْ ۖ إِنْ أَتَّبِعُ إِلَّا مَا يُوحَىٰٓ إِلَىَّ وَمَآ أَنَا۠ إِلَّا نَذِيرٌۭ مُّبِينٌۭ,163,-10.05125617980957,137.31506249999998,157.993,169,24,50,4,1,5,53,16,1,20.678,188.65109794411407,19.215471697924023,143.24436650360155,1821.0,2064.0,74.07197405390848,15.582719950026172,0.15997029840946198,1534.9737906704672,2976.1398763523957,0.0
