surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
1,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,38,-6.070308685302734,2.74,9.94,39,4,11,1,0,0,11,2,0,7.2,179.40520539442525,24.42266833310458,183.22755938507524,510.0,717.0,61.17034331934136,14.826692180267179,0.12458748370409012,1079.806509709147,1998.8938053097345,0.0
1,2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,37,-2.4113121032714844,10.02,18.3,38,4,12,1,0,0,12,2,0,8.28,190.19768857953943,25.932312795449956,243.53505170046003,537.0,825.0,62.11922384921996,14.614551665110517,0.14203333854675293,1050.3221165321522,1948.0272683397684,0.08000000000000007
1,3,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,23,-2.3030624389648438,18.42,22.64,24,2,7,1,0,0,7,2,0,4.22,198.3329372480086,11.782856001000228,83.07996853498577,266.0,418.0,60.22619153005551,14.947852066966918,0.12260747700929642,982.3541328969051,1765.5066287878788,0.120000000000001
1,4,مَـٰلِكِ يَوْمِ ٱلدِّينِ,23,-2.0008280277252197,22.82,26.900000000000002,24,3,8,1,0,0,8,2,0,4.08,166.06253096672697,29.38395458242643,156.74296033225005,264.0,405.0,56.494576251937055,16.734413641955154,0.09209702908992767,831.726596903609,1509.94873046875,0.17999999999999972
1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,40,-3.058614730834961,27.04,33.02,40,4,14,0,0,0,14,5,0,5.98,197.9012228805614,20.656855243361335,178.62482399461095,452.0,595.0,66.29759510973405,15.219397329850144,0.1254379004240036,1090.6850290064588,1925.9692513368984,0.13999999999999702
1,6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,34,-2.653656244277954,33.160000000000004,38.1,34,3,10,1,3,0,10,3,3,4.94,192.59260237593986,20.42176300201395,164.51350944256552,309.0,491.0,60.620639932791725,14.795606028301753,0.09904322028160095,1449.868359210247,2892.389112903226,0.14000000000000057
1,7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,90,-3.2644572257995605,38.2,51.9575625,90,9,27,2,4,0,27,7,6,13.7575625,187.12176822790596,19.44648534158954,127.189573585452,1178.0,1372.0,69.62127073520342,18.687047037110094,0.1347658485174179,1146.2921323271169,2183.484738372093,0.10000000000000142
103,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-12.277615547180176,0.0,1.78,46,5,14,0,1,0,14,3,1,1.78,188.6386981889159,17.665893207986784,94.06430773510635,148.0,175.0,74.08694992766459,12.170977830993163,0.15197090804576874,2242.310443168216,3955.636160714286,0.0
103,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ وَٱلْعَصْرِ,50,-6.073550224304199,1.8,7.28,51,5,14,1,1,0,14,2,1,5.48,175.36888659966345,21.57680964275044,115.45395970995857,391.0,545.0,67.65062045030439,11.045004964786262,0.13044758141040802,2008.34327712305,3647.1202761627906,0.020000000000000018
103,2,إِنَّ ٱلْإِنسَـٰنَ لَفِى خُسْرٍ,30,-3.8611104488372803,7.42,13.24,31,4,9,1,0,2,10,1,1,5.82,192.7028132577102,11.484909691535075,45.181131403200084,446.0,579.0,69.32642399975795,13.830276651287072,0.11469163745641708,2298.47605958011,4060.8688186813188,0.13999999999999968
103,3,إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ وَتَوَاصَوْا۟ بِٱلْحَقِّ وَتَوَاصَوْا۟ بِٱلصَّبْرِ,100,-2.655686378479004,13.36,27.4025,106,9,32,2,5,0,32,9,5,14.0425,177.0137414945167,26.35595337118713,312.12736172776056,1102.0,1401.0,71.0483021972394,12.265977765672254,0.13143616914749146,2001.3757663058484,3528.75854214123,0.11999999999999922
108,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-13.478937149047852,0.0,1.6400000000000001,46,5,14,0,1,0,14,3,1,1.64,201.12253296864023,16.381025814088105,102.70690661004059,139.0,161.0,75.00511745760429,11.783872139926276,0.14949887990951538,2165.9656910725516,3778.996394230769,0.0
