surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
30,-1,0,0,أ,أ,2.152,2.172,2.172,0.020000000000000018,0.020000000000000018,-15.8100815,False,False,False,False,False,fatha
30,-1,1,1,َ,َ,2.172,2.192,2.192,0.020000000000000018,0.020000000000000018,-14.441349,False,False,False,False,False,damma
30,-1,2,2,ع,ع,2.192,2.212,2.212,0.020000000000000018,0.020000000000000018,-19.142597,False,False,False,False,False,damma
30,-1,3,3,ُ,ُ,2.212,2.332,2.232,0.11999999999999966,0.020000000000000018,-14.228481,False,False,False,False,False,damma
30,-1,4,4,و,و,2.332,2.472,2.352,0.14000000000000012,0.020000000000000018,-16.27834,False,False,False,False,False,damma
30,-1,5,5,ذ,ذ,2.472,2.532,2.492,0.06000000000000005,0.020000000000000018,-16.140148,False,False,False,False,False,damma
30,-1,6,6,ُ,ُ,2.532,2.572,2.552,0.040000000000000036,0.020000000000000018,-16.779327,False,False,False,False,False,kasra
30,-1,7,7, ,|,2.572,2.592,2.592,0.020000000000000018,0.020000000000000018,-2.9802277e-06,False,False,False,False,False,kasra
30,-1,8,8,ب,ب,2.592,2.612,2.612,0.020000000000000018,0.020000000000000018,-16.561527,False,False,False,False,False,kasra
30,-1,9,9,ِ,ِ,2.612,2.632,2.632,0.020000000000000018,0.020000000000000018,-17.896528,False,False,False,False,False,none
30,-1,10,10,ا,ا,2.632,2.652,2.652,0.020000000000000018,0.020000000000000018,-4.3748852e-05,False,False,False,False,False,none
30,-1,11,11,ل,ل,2.652,2.852,2.712,0.19999999999999973,0.06000000000000005,-0.009773853,False,True,False,False,False,fatha
30,-1,12,12,ل,ل,2.852,2.892,2.872,0.040000000000000036,0.020000000000000018,-4.6967358e-05,False,True,False,False,False,fatha
30,-1,13,13,ّ,ّ,2.892,2.912,2.912,0.020000000000000018,0.020000000000000018,-0.32602078,False,False,False,False,False,fatha
30,-1,14,14,َ,َ,2.912,3.192,2.952,0.28000000000000025,0.040000000000000036,-0.29576433,False,False,False,False,False,kasra
30,-1,15,15,ه,ه,3.192,3.252,3.2119999999999997,0.05999999999999961,0.019999999999999574,-0.00082411175,False,False,False,False,False,kasra
30,-1,16,16,ِ,ِ,3.252,3.2720000000000002,3.2720000000000002,0.020000000000000462,0.020000000000000462,-3.6893773,False,False,False,False,False,kasra
30,-1,17,17, ,|,3.2720000000000002,3.292,3.292,0.019999999999999574,0.019999999999999574,-15.83147,False,False,False,False,False,kasra
30,-1,18,18,م,م,3.292,3.3120000000000003,3.3120000000000003,0.020000000000000462,0.020000000000000462,-11.281524,False,False,False,False,False,kasra
30,-1,19,19,ِ,ِ,3.3120000000000003,3.332,3.332,0.019999999999999574,0.019999999999999574,-9.250317,False,False,False,False,False,fatha
30,-1,20,20,ن,ن,3.332,3.3520000000000003,3.3520000000000003,0.020000000000000462,0.020000000000000462,-9.589045,False,False,False,False,False,fatha
30,-1,21,21,َ,َ,3.3520000000000003,3.372,3.372,0.019999999999999574,0.019999999999999574,-17.45036,False,False,False,False,False,none
30,-1,22,22, ,|,3.372,3.412,3.412,0.040000000000000036,0.040000000000000036,-0.16034874,False,False,False,False,False,none
30,-1,23,23,ا,ا,3.412,3.472,3.432,0.06000000000000005,0.020000000000000018,-1.1737211,False,False,False,False,False,none
30,-1,24,24,ل,ل,3.472,3.632,3.512,0.16000000000000014,0.040000000000000036,-0.48561928,False,True,False,False,False,fatha
30,-1,25,25,ش,ش,3.632,3.652,3.652,0.020000000000000018,0.020000000000000018,-14.25327,False,True,False,False,False,fatha
30,-1,26,26,ّ,ّ,3.652,3.7119999999999997,3.7119999999999997,0.05999999999999961,0.05999999999999961,-0.45958462,False,False,False,False,False,fatha
30,-1,27,27,َ,َ,3.7119999999999997,3.8120000000000003,3.732,0.10000000000000053,0.020000000000000462,-0.003059114,False,False,False,False,True,sukun
30,-1,28,28,ي,ي,3.8120000000000003,3.872,3.832,0.05999999999999961,0.019999999999999574,-12.737157,False,False,False,False,True,sukun
30,-1,29,29,ْ,ْ,3.872,3.992,3.8920000000000003,0.1200000000000001,0.020000000000000462,-8.1526375,False,False,False,False,False,fatha
30,-1,30,30,ط,ط,3.992,4.072,4.0120000000000005,0.08000000000000007,0.020000000000000462,-18.476578,True,False,False,False,False,fatha
30,-1,31,31,َ,َ,4.072,4.152,4.0920000000000005,0.08000000000000007,0.020000000000000462,-4.9641147,False,False,False,False,False,kasra
30,-1,32,32,ا,ا,4.152,4.412,4.172000000000001,0.2599999999999998,0.020000000000000462,-6.969499,False,False,False,False,False,kasra
30,-1,33,33,ن,ن,4.412,4.4719999999999995,4.432,0.05999999999999961,0.020000000000000462,-0.00012516193,False,False,False,False,False,kasra
30,-1,34,34,ِ,ِ,4.4719999999999995,4.552,4.492,0.08000000000000007,0.020000000000000462,-9.2978924e-05,False,False,False,False,False,none
30,-1,35,35, ,|,4.552,4.612,4.5920000000000005,0.0600000000000005,0.040000000000000924,-0.012684017,False,False,False,False,False,none
30,-1,36,36,ا,ا,4.612,4.652,4.632,0.040000000000000036,0.019999999999999574,-5.956285,False,False,False,False,False,none
30,-1,37,37,ل,ل,4.652,4.852,4.692,0.20000000000000018,0.040000000000000036,-0.381029,False,True,False,False,False,fatha
30,-1,38,38,ر,ر,4.852,4.8919999999999995,4.872,0.03999999999999915,0.019999999999999574,-5.2212305e-05,False,True,False,False,False,fatha
30,-1,39,39,ّ,ّ,4.8919999999999995,4.932,4.912,0.040000000000000924,0.020000000000000462,-0.017237138,False,False,False,False,False,fatha
30,-1,40,40,َ,َ,4.932,5.112,4.952,0.17999999999999972,0.019999999999999574,-0.0018134353,False,False,False,False,False,kasra
30,-1,41,41,ج,ج,5.112,5.172000000000001,5.132,0.0600000000000005,0.019999999999999574,-13.380885,False,False,False,False,False,kasra
30,-1,42,42,ِ,ِ,5.172000000000001,5.292,5.192,0.11999999999999922,0.019999999999999574,-3.2354736,False,False,False,False,False,kasra
30,-1,43,43,ي,ي,5.292,5.672000000000001,5.312,0.3800000000000008,0.020000000000000462,-0.011543859,False,False,False,False,False,kasra
30,-1,44,44,م,م,5.672000000000001,6.731999999999999,5.692,1.0599999999999987,0.019999999999999574,-3.349725e-05,False,False,False,False,False,kasra
30,-1,45,45,ِ,ِ,6.731999999999999,8.752,6.752000000000001,2.0200000000000014,0.02000000000000135,-0.8565864,False,False,False,False,False,none
30,1,0,0,ب,ب,8.572375,8.592374999999999,8.592374999999999,0.019999999999999574,0.019999999999999574,-12.697623,False,False,False,False,False,kasra
30,1,1,1,ِ,ِ,8.592374999999999,8.652375,8.612374999999998,0.0600000000000005,0.019999999999999574,-10.301819,False,False,False,False,True,sukun
30,1,2,2,س,س,8.652375,9.912374999999999,8.672374999999999,1.2599999999999998,0.019999999999999574,-10.723425,False,False,False,False,True,sukun
30,1,3,3,ْ,ْ,9.912374999999999,11.012374999999999,9.932374999999999,1.0999999999999996,0.019999999999999574,-11.507742,False,False,False,False,False,kasra
30,1,4,4,م,م,11.012374999999999,11.092374999999999,11.032374999999998,0.08000000000000007,0.019999999999999574,-0.001167331,False,False,False,False,False,kasra
30,1,5,5,ِ,ِ,11.092374999999999,11.112375,11.112375,0.02000000000000135,0.02000000000000135,-4.2820835,False,False,False,False,False,none
30,1,6,6, ,|,11.112375,12.232375,11.132375,1.1199999999999992,0.019999999999999574,-10.97919,False,False,False,False,False,none
30,1,7,7,ٱ,ا,12.232375,12.252374999999999,12.252374999999999,0.019999999999999574,0.019999999999999574,-13.88395,False,False,False,False,False,none
30,1,8,8,ل,ل,12.252374999999999,12.452375,12.272375,0.20000000000000107,0.02000000000000135,-11.200955,False,True,False,False,False,fatha
30,1,9,9,ل,ل,12.452375,12.672374999999999,12.472375,0.21999999999999886,0.019999999999999574,-11.331369,False,True,False,False,False,fatha
30,1,10,10,ّ,ّ,12.672374999999999,12.712374999999998,12.692374999999998,0.03999999999999915,0.019999999999999574,-12.775309,False,False,False,False,False,fatha
30,1,11,11,َ,َ,12.712374999999998,13.032374999999998,12.732375,0.3200000000000003,0.02000000000000135,-15.981977,False,False,False,False,False,kasra
30,1,12,12,ه,ه,13.032374999999998,13.052375,13.052375,0.02000000000000135,0.02000000000000135,-8.642226,False,False,False,False,False,kasra
30,1,13,13,ِ,ِ,13.052375,13.912374999999999,13.072375,0.8599999999999994,0.019999999999999574,-9.1408,False,False,False,False,False,none
30,1,14,14, ,|,13.912374999999999,14.092375,13.972375,0.1800000000000015,0.0600000000000005,-0.049708817,False,False,False,False,False,none
30,1,15,15,ٱ,ا,14.092375,14.332374999999999,14.112375,0.23999999999999844,0.019999999999999574,-14.020725,False,False,False,False,False,none
30,1,16,16,ل,ل,14.332374999999999,14.392375,14.352374999999999,0.0600000000000005,0.019999999999999574,-0.0008684201,False,True,False,False,False,fatha
30,1,17,17,ر,ر,14.392375,14.412374999999999,14.412374999999999,0.019999999999999574,0.019999999999999574,-11.374063,False,True,False,False,False,fatha
30,1,18,18,ّ,ّ,14.412374999999999,14.432375,14.432375,0.02000000000000135,0.02000000000000135,-9.783554,False,False,False,False,False,fatha
30,1,19,19,َ,َ,14.432375,14.452375,14.452375,0.019999999999999574,0.019999999999999574,-13.057579,False,False,False,False,True,sukun
