surah,n_verses,n_v1_letters,n_total_letters,v1_over_total,recall_K1,recall_K2,recall_K3,gzip,lzma,zstd
Q:108,3,35,62,0.5645161290322581,1.0,1.0,1.0,1.0,1.0,1.0
Q:112,4,30,66,0.45454545454545453,1.0,1.0,0.9740740740740741,1.0,1.0,0.9740740740740741
Q:110,3,38,99,0.3838383838383838,1.0,0.9814814814814815,0.9716312056737588,0.9791174152876281,0.9739952718676123,1.0
Q:105,5,44,116,0.3793103448275862,1.0,0.9814814814814815,0.9430199430199431,0.9795821462488129,0.9449192782526116,1.0
Q:113,5,33,92,0.358695652173913,1.0,0.9831649831649831,0.9063973063973064,0.9831649831649831,0.9063973063973064,1.0
Q:111,5,34,100,0.34,1.0,0.9988425925925926,0.9386574074074074,0.9988425925925926,0.9386574074074074,1.0
Q:114,6,33,99,0.3333333333333333,1.0,0.9992119779353822,0.9495665878644602,0.9992119779353822,0.9495665878644602,1.0
Q:106,4,29,96,0.3020833333333333,1.0,0.9826038159371493,0.31032547699214363,0.9736251402918069,0.31930415263748596,1.0
Q:097,5,40,134,0.29850746268656714,1.0,0.9969135802469136,0.41358024691358025,0.9958847736625515,0.41460905349794236,1.0
Q:109,6,35,118,0.2966101694915254,1.0,0.9866898148148148,0.2957175925925926,0.9861111111111112,0.2962962962962963,1.0
Q:107,7,38,133,0.2857142857142857,0.9994855967078189,0.992798353909465,0.970679012345679,0.9727366255144033,0.9994855967078189,0.9907407407407407
Q:103,3,25,92,0.2717391304347826,1.0,1.0,0.2521043771043771,1.0,0.2521043771043771,1.0
Q:094,8,32,121,0.2644628099173554,1.0,0.9878787878787879,0.48013468013468014,0.9878787878787879,0.4808080808080808,0.9993265993265993
Q:102,8,32,142,0.22535211267605634,1.0,1.0,0.3862433862433862,1.0,0.3862433862433862,1.0
Q:099,8,39,177,0.22033898305084745,1.0,0.9994472084024323,0.9773355444997236,1.0,0.9994472084024323,0.9773355444997236
Q:104,9,33,153,0.21568627450980393,1.0,1.0,0.9962962962962963,1.0,1.0,0.9962962962962963
Q:095,8,33,181,0.18232044198895028,0.9993386243386243,0.9966931216931217,0.8293650793650794,0.9993386243386243,0.830026455026455,0.996031746031746
Q:098,8,75,423,0.1773049645390071,1.0,0.8108594030924128,0.002157497303128371,0.8108594030924128,1.0,0.002157497303128371
Q:100,11,32,188,0.1702127659574468,1.0,1.0,0.9948914431673053,0.9948914431673053,1.0,1.0
Q:065,12,192,1222,0.15711947626841244,9.92950054612253e-05,0.0,0.0,0.0,9.92950054612253e-05,0.0
Q:060,13,239,1579,0.1513616212792907,0.013616557734204794,0.0,0.0,0.0,0.013616557734204794,0.0
Q:101,11,26,179,0.1452513966480447,1.0,1.0,0.9714506172839507,1.0,1.0,0.9714506172839507
Q:093,11,25,184,0.1358695652173913,1.0,1.0,1.0,1.0,1.0,1.0
Q:001,7,19,143,0.13286713286713286,1.0,0.999244142101285,0.9977324263038548,1.0,0.9977324263038548,0.999244142101285
Q:063,11,101,820,0.12317073170731707,0.09339774557165861,0.001610305958132045,0.0,0.002214170692431562,0.0927938808373591,0.0
Q:086,17,33,273,0.12087912087912088,1.0,0.9993614303959132,0.3550446998722861,0.9993614303959132,0.3550446998722861,1.0
Q:096,19,37,307,0.12052117263843648,1.0,0.984468339307049,0.34886499402628435,0.984468339307049,0.34886499402628435,1.0
Q:091,15,31,272,0.11397058823529412,1.0,0.9923371647509579,0.4731800766283525,0.9955300127713921,0.4731800766283525,0.9968071519795658
Q:087,19,34,315,0.10793650793650794,0.9650593990216632,0.8951781970649895,0.1530398322851153,0.923130677847659,0.15653389238294899,0.93361285814116
Q:082,19,34,352,0.09659090909090909,0.98421372191864,0.6302367941712204,0.1493624772313297,0.533090467516697,0.2799028536733455,0.9508196721311475
Q:092,21,32,333,0.0960960960960961,0.9776500638569604,0.7420178799489144,0.2841634738186462,0.6800766283524904,0.3544061302681992,0.9693486590038314
Q:090,20,34,361,0.09418282548476455,0.9993614303959132,0.8767560664112388,0.14559386973180077,0.8716475095785441,0.15134099616858238,0.9987228607918263
Q:062,11,71,787,0.09021601016518424,0.4289805269186712,0.14394807178312333,0.0,0.2821687667048492,0.2907598319969454,0.0
Q:088,26,36,401,0.08977556109725686,0.9074074074074074,0.4876543209876543,0.17969821673525377,0.36213991769547327,0.3395061728395062,0.8731138545953361
Q:085,22,35,488,0.07172131147540983,0.29693486590038315,0.08684546615581099,0.016602809706257982,0.18518518518518517,0.09578544061302682,0.1194125159642401
Q:071,28,70,984,0.07113821138211382,0.016225749559082892,0.0,0.0,0.0,0.016225749559082892,0.0
Q:084,25,33,464,0.07112068965517242,0.9190672153635117,0.19478737997256515,0.0,0.9156378600823045,0.19821673525377229,0.0
Q:064,18,78,1110,0.07027027027027027,0.007984031936127744,0.0,0.0,0.007318695941450432,0.0006653359946773121,0.0
Q:081,29,31,454,0.06828193832599119,0.9086845466155811,0.7579821200510856,0.0561941251596424,0.830779054916986,0.06257982120051085,0.8295019157088123
Q:066,12,76,1124,0.06761565836298933,0.16433099766433099,0.0,0.0,0.0,0.16433099766433099,0.0
Q:061,14,62,985,0.06294416243654823,0.002090800477897252,0.0,0.0,0.0014934289127837516,0.0005973715651135006,0.0
Q:072,28,68,1128,0.06028368794326241,0.030764635603345282,0.0,0.0,0.0008960573476702509,0.02986857825567503,0.0
Q:049,18,83,1552,0.053479381443298966,0.0019895928986838076,0.00015304560759106213,0.0,0.0010713192531374349,0.0010713192531374349,0.0
Q:076,31,59,1106,0.05334538878842676,0.049479166666666664,0.0,0.0,0.0,0.049479166666666664,0.0
Q:075,40,36,695,0.051798561151079135,0.23084728564180618,0.013191273465246067,0.0,0.04819888381532217,0.19583967529173008,0.0
Q:080,42,27,571,0.047285464098073555,0.8261526832955405,0.2758881330309902,0.024943310657596373,0.7513227513227513,0.23356009070294784,0.1421012849584278
Q:058,22,92,2065,0.04455205811138015,0.053573869072024057,0.0016400164001640015,0.0,0.007790077900779008,0.04742380757140905,0.0
Q:089,30,25,603,0.04145936981757877,0.345679012345679,0.0551440329218107,0.0,0.2872427983539095,0.11358024691358025,0.0
Q:079,46,32,804,0.03980099502487562,0.3326947637292465,0.017879948914431672,0.0,0.0210727969348659,0.32950191570881227,0.0
Q:083,36,30,769,0.03901170351105332,0.44814814814814813,0.02546296296296296,0.0,0.4375,0.03611111111111111,0.0
Q:067,30,52,1366,0.03806734992679356,0.03590093160645308,0.0,0.0,0.0,0.03590093160645308,0.0
Q:077,50,32,860,0.037209302325581395,0.7298850574712644,0.2567049808429119,0.0,0.48020434227330777,0.5063856960408685,0.0
Q:035,45,119,3257,0.03653669020571078,0.0,0.0,0.0,0.0,0.0,0.0
Q:078,40,29,815,0.03558282208588957,0.13822751322751323,0.005952380952380952,0.0,0.07275132275132275,0.07142857142857142,0.0
Q:073,20,31,873,0.035509736540664374,0.18154219793564055,0.0006071645415907711,0.0,0.0006071645415907711,0.18154219793564055,0.0
Q:070,44,35,990,0.03535353535353535,0.0678062678062678,0.0,0.0,0.0,0.0678062678062678,0.0
Q:059,24,62,1989,0.03117144293614882,0.025200458190148912,0.0,0.0,0.0,0.025200458190148912,0.0
Q:074,56,31,1054,0.029411764705882353,0.12289562289562289,0.0,0.0,0.0,0.12289562289562289,0.0
Q:054,55,41,1488,0.027553763440860215,0.0,0.0,0.0,0.0,0.0,0.0
Q:068,52,35,1308,0.026758409785932722,0.0528322440087146,0.0,0.0,0.0,0.0528322440087146,0.0
Q:014,52,91,3558,0.025576166385609892,0.0,0.0,0.0,0.0,0.0,0.0
Q:034,54,86,3613,0.02380293384998616,0.0,0.0,0.0,0.0,0.0,0.0
Q:057,29,58,2564,0.02262090483619345,0.0,0.0,0.0,0.0,0.0,0.0
Q:013,43,79,3564,0.022166105499438832,0.0,0.0,0.0,0.0,0.0,0.0
Q:047,38,54,2442,0.022113022113022112,0.0,0.0,0.0,0.0,0.0,0.0
Q:069,52,25,1152,0.021701388888888888,0.01316872427983539,0.0008230452674897119,0.0,0.0008230452674897119,0.01316872427983539,0.0
Q:050,45,33,1526,0.02162516382699869,0.049886621315192746,0.0,0.0,0.0,0.049886621315192746,0.0
Q:053,62,31,1452,0.02134986225895317,0.001299545159194282,0.0,0.0,0.0,0.001299545159194282,0.0
Q:051,60,32,1565,0.020447284345047924,0.038952745849297574,0.0,0.0,0.0,0.038952745849297574,0.0
Q:008,75,108,5406,0.01997780244173141,0.0,0.0,0.0,0.0,0.0,0.0
Q:052,49,25,1343,0.018615040953090096,0.02356902356902357,0.0,0.0,0.0,0.02356902356902357,0.0
Q:056,96,33,1775,0.018591549295774647,0.0,0.0,0.0,0.0,0.0,0.0
Q:017,111,114,6662,0.017111978384869407,0.0,0.0,0.0,0.0,0.0,0.0
Q:025,77,63,3897,0.016166281755196306,0.0,0.0,0.0,0.0,0.0,0.0
Q:015,99,44,2901,0.015167183729748363,0.0,0.0,0.0,0.0,0.0,0.0
Q:048,29,38,2529,0.015025701858442072,0.009897828863346106,0.0,0.0,0.0,0.009897828863346106,0.0
Q:055,78,25,1666,0.015006002400960384,1.0,0.2671957671957672,0.0,1.0,0.2671957671957672,0.0
Q:044,59,21,1493,0.01406563965170797,0.0005878894767783657,0.0,0.0,0.0,0.0005878894767783657,0.0
Q:032,30,22,1582,0.01390644753476612,0.0,0.0,0.0,0.0,0.0,0.0
Q:033,73,80,5807,0.013776476666092647,0.0,0.0,0.0,0.0,0.0,0.0
Q:024,64,70,5773,0.012125411397886714,0.0,0.0,0.0,0.0,0.0,0.0
Q:022,78,59,5333,0.011063191449465591,0.0,0.0,0.0,0.0,0.0,0.0
Q:038,88,34,3084,0.011024643320363165,0.0,0.0,0.0,0.0,0.0,0.0
Q:031,34,22,2190,0.01004566210045662,0.0,0.0,0.0,0.0,0.0,0.0
Q:045,37,21,2104,0.009980988593155894,0.0,0.0,0.0,0.0,0.0,0.0
Q:039,75,48,4888,0.009819967266775777,0.0,0.0,0.0,0.0,0.0,0.0
Q:021,112,50,5113,0.009778994719342852,0.0,0.0,0.0,0.0,0.0,0.0
Q:005,120,116,12225,0.009488752556237219,0.0,0.0,0.0,0.0,0.0,0.0
Q:018,110,61,6571,0.009283214122660173,0.0,0.0,0.0,0.0,0.0,0.0
Q:027,93,43,4809,0.008941567893532959,0.00038580246913580245,0.0,0.0,0.0,0.00038580246913580245,0.0
Q:004,176,144,16351,0.008806800807290073,1.0,0.0,0.0,1.0,0.0,0.0
Q:046,35,21,2686,0.00781831720029784,0.0,0.0,0.0,0.0,0.0,0.0
Q:016,128,61,7851,0.0077697108648579795,0.0,0.0,0.0,0.0,0.0,0.0
Q:037,182,30,3918,0.007656967840735069,0.0,0.0,0.0,0.0,0.0,0.0
Q:023,118,33,4502,0.007330075521990226,0.0,0.0,0.0,0.0,0.0,0.0
Q:011,123,55,7836,0.00701888718734048,0.0,0.0,0.0,0.0,0.0,0.0
Q:006,165,88,12745,0.006904668497449981,0.0,0.0,0.0,0.0,0.0,0.0
Q:036,83,21,3087,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0
Q:030,60,22,3491,0.006301919220853624,0.0,0.0,0.0,0.0,0.0,0.0
Q:041,54,21,3384,0.0062056737588652485,0.001564945226917058,0.0,0.0,0.0,0.001564945226917058,0.0
Q:019,98,24,3954,0.006069802731411229,0.0,0.0,0.0,0.0,0.0,0.0
Q:042,53,21,3541,0.005930528099406947,0.0,0.0,0.0,0.0,0.0,0.0
Q:043,89,21,3628,0.005788313120176406,0.0,0.0,0.0,0.0,0.0,0.0
Q:012,111,41,7326,0.0055965055965055965,0.0,0.0,0.0,0.0,0.0,0.0
Q:010,109,41,7608,0.005389064143007361,0.0,0.0,0.0,0.0,0.0,0.0
Q:029,69,22,4336,0.00507380073800738,0.0,0.0,0.0,0.0,0.0,0.0
Q:040,85,21,5127,0.004095962551199532,0.0,0.0,0.0,0.0,0.0,0.0
Q:026,227,22,5649,0.0038944946008143033,0.0,0.0,0.0,0.0,0.0,0.0
Q:020,135,21,5418,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0
Q:028,88,22,5949,0.0036981005210959825,0.0,0.0,0.0,0.0,0.0,0.0
Q:009,129,41,11115,0.003688708951866847,0.0,0.0,0.0,0.0,0.0,0.0
Q:007,206,23,14454,0.0015912550159125501,0.0,0.0,0.0,0.0,0.0,0.0
Q:003,200,22,15004,0.001466275659824047,0.0,0.0,0.0,0.0,0.0,0.0
Q:002,286,22,26268,0.0008375209380234506,1.0,0.0,0.0,1.0,0.0,0.0
