surah,n_verses,n_v1_letters,n_total_letters,v1_over_total,recall_K1,recall_K2,recall_K3,gzip,lzma,zstd
Q:108,3,35,62,0.5645161290322581,1.0,1.0,1.0,1.0,1.0,1.0
Q:112,4,30,66,0.45454545454545453,1.0,1.0,0.9616858237547893,1.0,1.0,0.9616858237547893
Q:110,3,38,99,0.3838383838383838,1.0,0.9681069958847737,0.9495884773662552,0.9660493827160493,0.9516460905349794,1.0
Q:105,5,44,116,0.3793103448275862,1.0,0.9656084656084656,0.8941798941798942,0.9620811287477954,0.8977072310405644,1.0
Q:113,5,33,92,0.358695652173913,1.0,0.9710648148148148,0.8391203703703703,0.9710648148148148,0.8391203703703703,1.0
Q:111,5,34,100,0.34,1.0,0.9977553310886644,0.8810325476992144,0.9977553310886644,0.8810325476992144,1.0
Q:114,6,33,99,0.3333333333333333,1.0,0.9988425925925926,0.9259259259259259,0.9988425925925926,0.9259259259259259,1.0
Q:106,4,29,96,0.3020833333333333,1.0,0.9603174603174603,0.26851851851851855,0.9563492063492064,0.2724867724867725,1.0
Q:097,5,40,134,0.29850746268656714,1.0,0.993993993993994,0.38538538538538536,0.991991991991992,0.38738738738738737,1.0
Q:109,6,35,118,0.2966101694915254,1.0,0.9749455337690632,0.3627450980392157,0.9738562091503268,0.3638344226579521,1.0
Q:107,7,38,133,0.2857142857142857,0.9989711934156379,0.98559670781893,0.941358024691358,0.9454732510288066,0.9989711934156379,0.9814814814814815
Q:103,3,25,92,0.2717391304347826,1.0,1.0,0.19555555555555557,1.0,0.19555555555555557,1.0
Q:094,8,32,121,0.2644628099173554,1.0,0.978494623655914,0.44563918757467147,0.978494623655914,0.44683393070489846,0.998805256869773
Q:102,8,32,142,0.22535211267605634,1.0,1.0,0.37037037037037035,1.0,0.37037037037037035,1.0
Q:099,8,39,177,0.22033898305084745,1.0,0.998998998998999,0.958958958958959,1.0,0.998998998998999,0.958958958958959
Q:104,9,33,153,0.21568627450980393,1.0,1.0,0.992831541218638,1.0,1.0,0.992831541218638
Q:095,8,33,181,0.18232044198895028,0.9988776655443322,0.9943883277216611,0.941638608305275,0.9988776655443322,0.9427609427609428,0.9932659932659933
Q:098,8,75,423,0.1773049645390071,1.0,0.758998435054773,0.0020865936358894104,0.758998435054773,1.0,0.0020865936358894104
Q:100,11,32,188,0.1702127659574468,1.0,1.0,0.9907407407407407,0.9907407407407407,1.0,1.0
Q:065,12,192,1222,0.15711947626841244,0.0002046245140167792,0.0,0.0,0.0,0.0002046245140167792,0.0
Q:060,13,239,1579,0.1513616212792907,0.012962962962962963,0.0,0.0,0.0,0.012962962962962963,0.0
Q:101,11,26,179,0.1452513966480447,1.0,1.0,0.9451851851851852,1.0,1.0,0.9451851851851852
Q:093,11,25,184,0.1358695652173913,1.0,1.0,1.0,1.0,1.0,1.0
Q:001,7,19,143,0.13286713286713286,1.0,0.9980506822612085,0.9941520467836257,1.0,0.9941520467836257,0.9980506822612085
Q:063,11,101,820,0.12317073170731707,0.045910493827160496,0.00038580246913580245,0.0,0.0015432098765432098,0.044753086419753084,0.0
Q:086,17,33,273,0.12087912087912088,1.0,0.9988425925925926,0.33449074074074076,0.9988425925925926,0.33449074074074076,1.0
