surah_label,n_variants,recall_K1,recall_K2,recall_K3,recall_K4,recall_solo_gzip,recall_solo_bz2,recall_solo_lzma,recall_solo_zstd,ncd_min_gzip,ncd_max_gzip,ncd_min_bz2,ncd_max_bz2,ncd_min_lzma,ncd_max_lzma,ncd_min_zstd,ncd_max_zstd,n_canon_consonants_v1
Q:001,513,1.0,0.9980506822612085,0.9941520467836257,0.0,1.0,0.0,0.9941520467836257,0.9980506822612085,0.06993006993006994,0.11888111888111888,0.1640625,0.2248062015503876,0.02,0.06,0.026490066225165563,0.052980132450331126,19
Q:002,594,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9264164827078735,0.9274882214369847,0.2697941943021479,0.27163937376282166,0.007399577167019027,0.00882768361581921,0.0009476600087476309,0.0013854455301152107,22
Q:003,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045275590551181105,0.0463885812723022,0.2684226552984166,0.27063310450038136,0.010368663594470046,0.012131715771230503,0.0006116207951070336,0.0015902140672782875,22
Q:004,3726,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8604356344358649,0.8625504904789383,0.26882336100772974,0.2708094144661309,0.009895547003848268,0.012114537444933921,0.00011555350127108852,0.0012710885139819736,144
Q:005,2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043412948775724804,0.0452155625657203,0.26655537006121316,0.26960237829803047,0.01132342533616419,0.014164305949008499,-0.00015042117930204573,0.0015042117930204573,116
Q:006,2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045020463847203276,0.046533842794759826,0.2745165154886189,0.27834874957177114,0.010256410256410256,0.014771997430956968,0.0005473453749315818,0.0019159709867250581,88
Q:007,621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043583535108958835,0.045036319612590796,0.28051908857703334,0.2825363196125908,0.010285714285714285,0.011467889908256881,0.001335275552318524,0.0024277737314882253,23
Q:008,2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041601008509297197,0.04569807752915222,0.26619273301737756,0.27380952380952384,0.0169971671388102,0.024147727272727272,0.004099653106275623,0.007568590350047304,108
Q:009,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04449958643507031,0.04571050016561776,0.2698576439034454,0.2732534105002067,0.011636927851047323,0.013975155279503106,0.0,0.002477700693756194,41
Q:010,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04111405835543767,0.04399734689365466,0.2789001122334456,0.28366601068315994,0.014314928425357873,0.01842374616171955,0.004876967412990468,0.007093770782531589,41
Q:011,1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04065212788481897,0.042796610169491524,0.2747747747747748,0.2790018582426334,0.013779527559055118,0.016815034619188922,0.010252029047415635,0.012393162393162393,55
Q:012,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040268456375838924,0.04318639516670396,0.27275296777840585,0.2756863855080668,0.013429752066115703,0.016597510373443983,0.012669683257918552,0.015610859728506787,41
Q:013,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039308855291576676,0.04449244060475162,0.2689167120304845,0.276013143483023,0.01904761904761905,0.02490421455938697,0.0025850926324859974,0.006893580353295993,79
Q:014,2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03795309168443497,0.04349680170575693,0.2732181425485961,0.28269126424308194,0.018975332068311195,0.024761904761904763,0.003837953091684435,0.00810926163038839,91
Q:015,1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03697996918335902,0.04367934224049332,0.26007802340702213,0.2685788787483703,0.02040816326530612,0.025056947608200455,0.0036175710594315244,0.008273009307135471,44
Q:016,1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04118794710600477,0.04422284847171038,0.27329360780065004,0.2774158523344191,0.014,0.018072289156626505,0.009180327868852459,0.01114997813729777,61
Q:017,2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04047619047619048,0.04311576941400667,0.2756756756756757,0.2792168674698795,0.01425438596491228,0.0176017601760176,0.008371203061468548,0.01195886151638364,114
Q:018,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04009433962264151,0.043867924528301884,0.28240190249702735,0.28528797373918235,0.014008620689655173,0.02267818574514039,0.005197259626742263,0.008740845735884715,61
Q:019,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03742690058479532,0.04095163806552262,0.26320939334637966,0.268664047151277,0.017391304347826087,0.021052631578947368,0.001558846453624318,0.005455962587685113,24
Q:020,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03667685468185607,0.04028896915809947,0.2855630074126368,0.2896600566572238,0.015228426395939087,0.019083969465648856,0.004476776720761052,0.006438969764837626,21
Q:021,1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908895044629117,0.04216682056017236,0.27799377916018664,0.28666146645865836,0.016666666666666666,0.019580419580419582,0.005567584287039901,0.007732755954222085,50
Q:022,1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03966091432031486,0.04271432899121479,0.2612509534706331,0.2666921022510492,0.01646090534979424,0.023383768913342505,0.0057856272838002435,0.009747182455071581,59
Q:023,837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03916811091854419,0.0440207972270364,0.26780253385757974,0.2744410346339325,0.0171875,0.02190923317683881,0.006643356643356644,0.009790209790209791,33
Q:024,1782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04169148302561048,0.04527852249031874,0.2581240768094535,0.2627683197631384,0.016216216216216217,0.0203527815468114,0.008672248803827751,0.012563565659587198,70
Q:025,1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037412314886983634,0.04181320828448613,0.27254707631318137,0.2783300198807157,0.019097222222222224,0.0210896309314587,0.003117692907248636,0.008187134502923977,63
Q:026,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04294871794871795,0.045206797050336645,0.24892199137593102,0.2550177095631641,0.017366136034732273,0.020319303338171262,0.008676092544987147,0.011889460154241645,22
Q:027,1107,0.0009033423667570009,0.0,0.0,0.0,0.0,0.0,0.0009033423667570009,0.0,0.040220564385338956,0.04349237260629666,0.2778688524590164,0.2861259777686291,0.017467248908296942,0.029197080291970802,0.002612671456564337,0.006211180124223602,43
Q:028,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03874288810620428,0.04091032240585207,0.27938671209540034,0.28336755646817247,0.01488833746898263,0.01990049751243781,0.008446866485013624,0.01062959934587081,22
Q:029,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043249341857841295,0.046292811441475346,0.2665094339622642,0.2724252491694352,0.018425460636515914,0.02348993288590604,0.006766917293233083,0.011282437006393382,22
Q:030,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04029990627928772,0.044048734770384255,0.25014442518775276,0.2589803012746234,0.018442622950819672,0.026748971193415638,0.0027998133457769483,0.006532897806812879,22
Q:031,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037377049180327866,0.043934426229508196,0.25542570951585974,0.26610878661087867,0.01971830985915493,0.02824858757062147,0.003939592908732764,0.009192383453709783,22
Q:032,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038630377524143986,0.046532045654082525,0.2502768549280177,0.265625,0.02181818181818182,0.02564102564102564,0.004325259515570935,0.011255411255411256,22
Q:033,2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.043680838672102505,0.26983546617915904,0.2756716967243283,0.017150395778364115,0.023872679045092837,0.00788091068301226,0.011091652072387624,80
Q:034,2241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689403689403689,0.0429000429000429,0.26301663982823403,0.27189682966147233,0.018975332068311195,0.022900763358778626,0.002127659574468085,0.0076726342710997444,86
Q:035,2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03876326718966313,0.04291647438855561,0.26198830409356727,0.27262044653349,0.02032520325203252,0.024539877300613498,0.0036798528058877645,0.008775981524249422,119
Q:036,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03844282238442823,0.04282238442822384,0.2692075015124017,0.27855833842394623,0.019271948608137045,0.02575107296137339,0.003371868978805395,0.00674373795761079,21
Q:037,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038318912237330034,0.0416323165704864,0.2549019607843137,0.26204039357845677,0.02010968921389397,0.022058823529411766,0.00247320692497939,0.005770816158285243,30
Q:038,891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03715898400752587,0.04329411764705882,0.26555023923444976,0.27310924369747897,0.01875,0.02301255230125523,0.0028182245185533112,0.007045561296383279,34
Q:039,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04034109544112824,0.04494750656167979,0.2781704781704782,0.2867861609003752,0.016296296296296295,0.020771513353115726,0.004939084622983207,0.007578253706754531,48
Q:040,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153354632587859,0.044089456869009586,0.26263430163151613,0.266986410871303,0.017191977077363897,0.020289855072463767,0.004813863928112966,0.007383627608346709,21
Q:041,567,0.001763668430335097,0.0,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.03982102908277405,0.042953020134228186,0.26985915492957746,0.2782167042889391,0.01764705882352941,0.029469548133595286,0.004016064257028112,0.007589285714285714,21
Q:042,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03933839964237819,0.043419874664279316,0.26065022421524664,0.2667794698251551,0.01972386587771203,0.02385685884691849,0.0026749888542131075,0.007579135086937138,21
Q:043,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.039883672621520566,0.2744479495268139,0.2808870116156283,0.018484288354898338,0.025974025974025976,0.0033305578684429643,0.006247396917950854,21
Q:044,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035071090047393366,0.043601895734597156,0.25737898465171194,0.27315914489311166,0.0196078431372549,0.027450980392156862,0.00375234521575985,0.013133208255159476,21
Q:045,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04042553191489362,0.04539007092198582,0.25533807829181493,0.270367054610564,0.021021021021021023,0.02710843373493976,0.0048712595685455815,0.009749303621169917,21
Q:046,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03618421052631579,0.04061470911086718,0.27291666666666664,0.27983251919050944,0.02158273381294964,0.024154589371980676,0.002176278563656148,0.005991285403050109,21
Q:047,1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04085603112840467,0.04798962386511025,0.25547445255474455,0.26384364820846906,0.02203856749311295,0.027777777777777776,0.0038461538461538464,0.010897435897435897,54
Q:048,999,0.001001001001001001,0.0,0.0,0.0,0.0,0.0,0.001001001001001001,0.0,0.03944174757281554,0.044902912621359224,0.26194144838212635,0.26985350809560527,0.023376623376623377,0.028795811518324606,0.00423728813559322,0.008489993935718617,38
