surah,n_canon,n_variants,n_ctrl_matched,var_delta_min,var_delta_max,ctrl_delta_min,ctrl_delta_max,ctrl_delta_p05_per_surah,recall,fpr_per_surah,n_fires_v,n_fires_c
Q:001,143,513,50,1.0,2.0,85.0,124.0,86.175,,,,
Q:002,26268,594,36,1.0,2.0,6734.5,10529.0,6980.25,,,,
Q:003,15004,594,50,1.0,2.0,3797.0,6590.0,3912.8,,,,
Q:004,16351,3726,50,1.0,2.0,4139.5,7189.0,4370.55,,,,
Q:005,12225,2862,50,1.0,2.0,2891.5,5428.5,3147.45,,,,
Q:006,12745,2349,50,1.0,2.0,3058.5,5726.0,3310.4,,,,
Q:007,14454,621,50,1.0,2.0,3535.0,6088.0,3710.4,,,,
Q:008,5406,2727,50,1.0,2.0,1547.5,2380.0,1610.125,,,,
Q:009,11115,999,50,1.0,2.0,2852.5,4862.5,2938.4,,,,
Q:010,7608,1080,50,1.0,2.0,2001.0,2600.5,2062.05,,,,
Q:011,7836,1431,50,1.0,2.0,1927.0,2784.0,2050.45,,,,
Q:012,7326,1080,50,1.0,2.0,1830.0,2459.5,1935.175,,,,
Q:013,3564,1998,50,1.0,2.0,956.0,1275.0,1014.175,,,,
Q:014,3558,2268,50,1.0,2.0,899.0,1313.0,977.575,,,,
Q:015,2901,1134,50,1.0,2.0,872.5,1267.0,879.325,,,,
Q:016,7851,1539,50,1.0,2.0,2050.5,2889.5,2154.35,,,,
Q:017,6662,2862,50,1.0,2.0,1565.0,2160.5,1646.5,,,,
Q:018,6571,1593,50,1.0,2.0,1515.5,2047.0,1636.15,,,,
Q:019,3954,648,50,1.0,2.0,1082.0,1508.0,1108.075,,,,
Q:020,5418,567,50,1.0,2.0,1346.5,2111.0,1419.375,,,,
Q:021,5113,1323,50,1.0,2.0,1346.5,1713.0,1405.3,,,,
Q:022,5333,1458,50,1.0,2.0,1397.5,1750.0,1439.05,,,,
Q:023,4502,837,50,1.0,2.0,1215.5,1688.5,1284.175,,,,
Q:024,5773,1782,50,1.0,2.0,1614.5,2343.5,1637.075,,,,
Q:025,3897,1674,50,1.0,2.0,1062.5,1508.5,1103.175,,,,
Q:026,5649,594,50,1.0,2.0,1668.0,2367.5,1691.9,,,,
Q:027,4809,1107,50,1.0,2.0,1277.5,1703.5,1292.65,,,,
Q:028,5949,594,50,1.0,2.0,1496.5,2084.5,1591.05,,,,
Q:029,4336,594,50,1.0,2.0,1226.0,1677.5,1283.35,,,,
Q:030,3491,594,50,1.0,2.0,1005.5,1429.5,1060.575,,,,
Q:031,2190,594,50,1.0,2.0,659.0,947.5,685.075,,,,
Q:032,1582,594,50,1.0,2.0,505.0,737.0,549.45,,,,
Q:033,5807,2106,50,1.0,2.0,1575.5,2190.5,1603.375,,,,
Q:034,3613,2241,50,1.0,2.0,952.5,1314.5,1028.4,,,,
Q:035,3257,2916,50,1.0,2.0,933.5,1179.0,946.3,,,,
