surah,n_canon,n_variants,var_delta_min,var_delta_max,n_var_fires,recall,n_peer_pairs,n_peer_fires,fpr,min_peer_delta
Q:001,143,513,1.0,2.0,513,1.0,4814,0,0.0,77.0
Q:002,26268,594,1.0,2.0,594,1.0,4814,0,0.0,6734.5
Q:003,15004,594,1.0,2.0,594,1.0,4814,0,0.0,3797.0
Q:004,16351,3726,1.0,2.0,3726,1.0,4814,0,0.0,4139.5
Q:005,12225,2862,1.0,2.0,2862,1.0,4814,0,0.0,2891.5
Q:006,12745,2349,1.0,2.0,2349,1.0,4814,0,0.0,3058.5
Q:007,14454,621,1.0,2.0,621,1.0,4814,0,0.0,3535.0
Q:008,5406,2727,1.0,2.0,2727,1.0,4814,0,0.0,1459.5
Q:009,11115,999,1.0,2.0,999,1.0,4814,0,0.0,2852.5
Q:010,7608,1080,1.0,2.0,1080,1.0,4814,0,0.0,1997.5
Q:011,7836,1431,1.0,2.0,1431,1.0,4814,0,0.0,1927.0
Q:012,7326,1080,1.0,2.0,1080,1.0,4814,0,0.0,1764.5
Q:013,3564,1998,1.0,2.0,1998,1.0,4814,0,0.0,874.0
Q:014,3558,2268,1.0,2.0,2268,1.0,4814,0,0.0,871.5
Q:015,2901,1134,1.0,2.0,1134,1.0,4814,0,0.0,772.5
Q:016,7851,1539,1.0,2.0,1539,1.0,4814,0,0.0,2050.5
Q:017,6662,2862,1.0,2.0,2862,1.0,4814,0,0.0,1565.0
Q:018,6571,1593,1.0,2.0,1593,1.0,4814,0,0.0,1515.5
Q:019,3954,648,1.0,2.0,648,1.0,4814,0,0.0,985.0
Q:020,5418,567,1.0,2.0,567,1.0,4814,0,0.0,1309.5
Q:021,5113,1323,1.0,2.0,1323,1.0,4814,0,0.0,1299.0
Q:022,5333,1458,1.0,2.0,1458,1.0,4814,0,0.0,1337.5
Q:023,4502,837,1.0,2.0,837,1.0,4814,0,0.0,1131.5
Q:024,5773,1782,1.0,2.0,1782,1.0,4814,0,0.0,1570.0
Q:025,3897,1674,1.0,2.0,1674,1.0,4814,0,0.0,927.0
Q:026,5649,594,1.0,2.0,594,1.0,4814,0,0.0,1552.5
Q:027,4809,1107,1.0,2.0,1107,1.0,4814,0,0.0,1186.5
Q:028,5949,594,1.0,2.0,594,1.0,4814,0,0.0,1496.5
Q:029,4336,594,1.0,2.0,594,1.0,4814,0,0.0,1072.5
